[01/01/09 01:30:23.971] log started
[01/01/09 01:30:23.971] 	[ BusInterface ]
[01/01/09 01:30:23.971] 	cycle = 100
[01/01/09 01:30:23.971] 	device = 0
[01/01/09 01:30:23.971] 	flags = ad_b_10_v,ai_rse
[01/01/09 01:30:23.972] 	href = cin_pci_2,cin_pci_2_skt
[01/01/09 01:30:23.972] 	interface = daq2005|daq2006|daq2010|daq2016|daq2204|daq2205|daq2206|daq2208|daq2213|daq2214|daq2501|daq2502|PIO_DA
[01/01/09 01:30:23.972] 	log:path = 
[01/01/09 01:30:23.972] 	log:size = 
[01/01/09 01:30:23.972] 	log:type = 
[01/01/09 01:30:23.972] 	name = Analog I/O Bus
[01/01/09 01:30:23.972] 	sym = bus_daq_1
[01/01/09 01:30:23.972] 	type = daq2213
[01/01/09 01:30:23.972] 	vendor = ICPDAS,Adlink
[01/01/09 01:30:23.972] tid = 4221
[01/01/09 01:30:23.972] init: lock started
[01/01/09 01:30:23.972] init: locked
[01/01/09 01:30:24.108] d2k-dask init: type=10 id=0
[01/01/09 01:30:24.108] d2k-dask setup: input channel 2, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.108] d2k-dask setup: input channel 3, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.108] d2k-dask setup: input channel 4, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 5, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 0, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 1, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] init: unlocked
[01/01/09 01:30:29.654] inVoltage 3 => -0.005798
[01/01/09 01:30:29.654] inVoltage 4 => 4.238586
[01/01/09 01:30:29.655] inVoltage 5 => 4.241638
[01/01/09 01:30:29.775] inVoltage 2 => -0.002136
[01/01/09 01:30:29.775] inVoltage 3 => -0.007019
[01/01/09 01:30:29.775] inVoltage 4 => 4.241943
[01/01/09 01:30:29.776] inVoltage 5 => 4.240723
[01/01/09 01:30:29.897] inVoltage 2 => -0.004883
[01/01/09 01:30:29.897] inVoltage 3 => -0.006104
[01/01/09 01:30:29.897] inVoltage 4 => 4.241638
[01/01/09 01:30:29.897] inVoltage 5 => 4.240723
[01/01/09 01:30:30.017] inVoltage 2 => -0.004272
[01/01/09 01:30:30.017] inVoltage 3 => -0.010986
[01/01/09 01:30:30.017] inVoltage 4 => 4.241333
[01/01/09 01:30:30.017] inVoltage 5 => 4.240112
[01/01/09 01:30:30.138] inVoltage 2 => -0.001526
[01/01/09 01:30:30.138] inVoltage 3 => -0.008850
[01/01/09 01:30:30.138] inVoltage 4 => 4.238586
[01/01/09 01:30:30.138] inVoltage 5 => 4.240417
[01/01/09 01:30:30.258] inVoltage 2 => -0.002441
[01/01/09 01:30:30.258] inVoltage 3 => -0.004272
[01/01/09 01:30:30.258] inVoltage 4 => 4.238586
[01/01/09 01:30:30.258] inVoltage 5 => 4.242249
[01/01/09 01:30:30.378] inVoltage 2 => -0.002747
[01/01/09 01:30:30.378] inVoltage 3 => -0.007629
[01/01/09 01:30:30.378] inVoltage 4 => 4.239807
[01/01/09 01:30:30.378] inVoltage 5 => 4.243164
[01/01/09 01:30:30.498] inVoltage 2 => -0.002441
